File,compound_names,mz,rt,into,Group,Sample
S1_4_10D.mzML,T,120.1,761.54502,241944613.2,S1,10D
S1_4_10D.mzML,Y,182.1,702.39324,53673178.1,S1,10D
S1_4_10D.mzML,V,118.1,666.29142,1510686454,S1,10D
S1_4_20D.mzML,A,90.1,672.40926,78773401.99,S1,20D
S1_4_20D.mzML,R,175.1,675.08352,53644634.37,S1,20D
S1_4_20D.mzML,D,134,952.2357,44153230.07,S1,20D
S1_4_20D.mzML,Cystine,241,828.61434,9889.340108,S1,20D
S1_4_20D.mzML,E,148.1,826.2075,212407777.7,S1,20D
S1_4_20D.mzML,G,76,764.4021,44411408.67,S1,20D
S1_4_20D.mzML,H,156.1,720.54504,218493899.5,S1,20D
S1_4_20D.mzML,I/L,132.1,822.98562,48997759.69,S1,20D
S1_4_20D.mzML,K,147.1,825.12498,2335101448,S1,20D
S1_4_20D.mzML,M,150.1,827.81208,21121965.65,S1,20D
S1_4_20D.mzML,F,166.1,665.18892,29175071.9,S1,20D
S1_4_20D.mzML,P,116.1,665.72376,119033363.1,S1,20D
S1_4_20D.mzML,S,106.0541421,879.4971,150935809.8,S1,20D
S1_4_20D.mzML,T,120.1,769.75044,196692802.6,S1,20D
S1_4_20D.mzML,Y,182.1,704.49978,37142562.07,S1,20D
S1_4_20D.mzML,V,118.1,663.5844,1545836738,S1,20D
S2_1_10D.mzML,A,90.1,675.0921,105511807.4,S2,10D
S2_1_10D.mzML,R,175.1,678.83598,28292443.99,S2,10D
S2_1_10D.mzML,D,134,953.35212,109662636,S2,10D
S2_1_10D.mzML,Cystine,241,663.3255,13037.58762,S2,10D
S2_1_10D.mzML,E,148.1,849.00486,567047667.6,S2,10D
S2_1_10D.mzML,G,76,759.06216,57548070.63,S2,10D
S2_1_10D.mzML,H,156.1,730.98306,202925828.1,S2,10D
S2_1_10D.mzML,I/L,132.1,822.70842,50393951.58,S2,10D
S2_1_10D.mzML,K,147.1,822.17358,3382040375,S2,10D
S2_1_10D.mzML,M,150.1,848.46996,22154913.3,S2,10D
S2_1_10D.mzML,F,166.1,665.46486,29302607.18,S2,10D
S2_1_10D.mzML,P,116.1,667.33686,118938616.4,S2,10D
S2_1_10D.mzML,S,106.0530502,879.81132,317876180.9,S2,10D
S2_1_10D.mzML,T,120.1,763.87578,145847978.7,S2,10D
S2_1_10D.mzML,Y,182.1,701.83416,38321103.67,S2,10D
S2_1_10D.mzML,V,118.1,666.26712,1253796845,S2,10D
S2_1_20D.mzML,A,90.1,672.98082,77579205.49,S2,20D
S2_1_20D.mzML,R,175.1,674.8527,67954328.13,S2,20D
S2_1_20D.mzML,D,134,954.70008,47050774.77,S2,20D
S2_1_20D.mzML,Cystine,241,827.55012,20463.8794,S2,20D
S2_1_20D.mzML,E,148.1,824.87592,304366744.3,S2,20D
